page,chunk,entity_name,entity_type,description
12,0,บ้านสามเรือน,LOCATION,อยู่ริมฝั่งแม่น้ำเจ้าพระยาฝั่งตะวันตก ได้หมู่บ้านเจดีย์ทองไปประมาณ ๑ กิโลเมตร อยู่ในเขต ตำบลคลองควาย หมู่บ้านนี้เคยมีอาชีพทำไม่ขายในอดีต บ้านสามเรือนมีวัดเมี่ยงหรือวัดสามัคคิยาราม เป็นศูนย์กลางของพระพุทธศาสนาในชุมชน
12,0,คำว่า “มี่ยง”,CULTURE,มาจากภาษามอญว่า “แม่ง” แปลว่า รอคอย เป็นชื่อหมู่บ้านใหญ่ในเมือง เมาะระมิงค์
12,0,บ้านสามเรือน,LOCATION,มีครัวเรือนอยู่ประมาณ ๖๐ ครอบครัว มีประชากรประมาณ ๒๖๐ คน ชุมชนบ้านสามเรือนมีโรงเรียนสังกัดประถมศึกษา คือโรงเรียนวัดสามัคคิยาราม
12,0,บ้านโพธิ์,LOCATION,เป็นหมู่บ้านมอญอยู่ใกล้เคียงกับหมู่บ้านสามเรือน ตั้งอยู่ในเขตตำบลคลองควาย ตั้งอยู่ระหว่าง กลาง ด้านใต้เป็นคลองควาย ด้านเหนือติดวัดสุราษฎร์รังสรรค์
12,0,ชาวมอญ,PERSON,อพยพมาจากหมู่บ้าน “พ่อ” เป็นหมู่บ้านใน เมืองเมาะตะมะ
12,0,บ้านโพธิ์,LOCATION,เป็นชุมชนที่มีขนาดเล็ก มีครัวเรือนอยู่ประมาณ ๒๒ ครอบครัว มีประชากรประมาณ ๑๑๐ คน
12,0,บ้านตากแดด,LOCATION,เป็นชุมชนที่ตั้งอยู่ในเขตตำบลบางเตย ติดกับชุมชนบ้านโพธิ์ โดยมีคลองควายคั้นอยู่
13,0,บ้านตากแดด,LOCATION,ชุมชนอยู่ริมฝั่งแม่น้ำเจ้าพระยาและในคลองควาย
13,0,วัดจันทน์กะพ้อ,ATTRACTION,ศูนย์กลางของพระพุทธศาสนาในชุมชน ปัจจุบันเป็นพระอารามหลวง เจ้าอาวาสดำรงสมณศักดิ์เป็น “พระธรรมเมธาภรณ์” เจ้าคณะจังหวัด ฝ่ายธรรมยุติกนิกาย
13,0,บ้านบางเตย,LOCATION,หมู่บ้านมอญตั้งอยู่บริเวณปากคลองบางเตยและในคลองบางเตย ซึ่งเป็นคลองเกิดขึ้นตามธรรมชาติ อยู่ฝั่งตะวันตกของแม่น้ำเจ้าพระยา ใต้หมู่บ้านตากแดด
13,0,วัดตาล,ATTRACTION,วัดร้างสมัยอยุธยาชื่อว่า “วัดตาล ต่อมาในสมัยรัชกาลที่ 5 ทางราชการได้จัดสร้างที่ว่าการอำเภอสามโคก สถานีตำรวจเป็นอาคารถาวร ทรงปั้นหยาริมฝั่งแม่น้ำเจ้าพระยาเป็นครั้งแรก
13,0,ตลาดบางเตย,LOCATION,ชุมชนชาวจีนบริเวณปากคลองบางเตยฝั่งเหนือคลองในอดีต
13,0,วัดบางเตยนอก,ATTRACTION,วัดมอญเรียกว่า “พี้ยะฮะปร้าง” ตั้งอยู่ในชุมชนชาวมอญบ้านบางเตย
13,0,วัดบางเตยกลาง,ATTRACTION,วัดมอญเรียกว่า “พี้ยะฮะปร้าง” แต่ภายหลังเรียกผิดเพี้ยนไปเป็นวัด ปิ้ง ตั้งอยู่ในชุมชนชาวมอญบ้านบางเตย
13,0,วัดบางเตยใน,ATTRACTION,วัดหรือวัดโพธิ์ “บางเตย” เป็นชื่อบ้านชื่อบางที่มีหลักฐานปรากฏในพงศาวดารเหนือที่มีมาตั้งแต่สมัย อยุธยาตอนต้น ตั้งอยู่ในชุมชนชาวมอญบ้านบางเตย
